İlan_Numarası,İlan_Güncelleme_Tarihi,Kategorisi,Brüt_Metrekare,Binanın_Yaşı,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Eşya_Durumu,Banyo_Sayısı,İlan_Oluşturma_Tarihi,Türü,Net_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Isıtma_Tipi,Krediye_Uygunluk,Site_İçerisinde,Takas,Fiyat_Durumu,Fiyatı,İl,İlçe,Mahalle,yaka,Yaşam_endeksi,Nüfus
1472,19 Ocak 2022 ,Satılık ,80,4 ,5,Boş ,Bilinmiyor ,Yok,1 ,19 Ocak 2022 ,Konut ,75,2+1 ,2. Kat ,Doğalgaz,Krediye Uygun Değil ,Hayır,Var,Genel Fiyat ,818000,İstanbul , Bahçelievler , Zafer Mahallesi ,Avrupa Yakası,0.053,605.3
1478,21 Ocak 2022 ,Satılık ,70,21 Ve Üzeri ,3,Boş ,Bilinmiyor ,Yok,1 ,19 Ocak 2022 ,Konut ,60,1+1 ,Bahçe Katı ,Doğalgaz,Krediye Uygun Değil ,Hayır,Var,Genel Fiyat ,210000,İstanbul , Bahçelievler , Soğanlı Mahallesi ,Avrupa Yakası,0.053,605.3
1463,20 Ocak 2022 ,Satılık ,100,4 ,4,Kiracı Oturuyor ,Bilinmiyor ,Yok,1 ,18 Ocak 2022 ,Konut ,90,2+1 ,1. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,850000,İstanbul , Bahçelievler , Kocasinan Merkez Mahallesi ,Avrupa Yakası,0.053,605.3
1487,19 Ocak 2022 ,Satılık ,120,0 (Yeni) ,5,Boş ,Bilinmiyor ,Yok,1 ,19 Ocak 2022 ,Konut ,115,3+1 ,2. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1750000,İstanbul , Bahçelievler , Siyavuşpaşa Mahallesi ,Avrupa Yakası,0.053,605.3
1449,18 Ocak 2022 ,Satılık ,80,4 ,2,Boş ,Bilinmiyor ,Yok,1 ,18 Ocak 2022 ,Konut ,75,2+1 ,Yüksek Giriş ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,575000,İstanbul , Bahçelievler , Siyavuşpaşa Mahallesi ,Avrupa Yakası,0.053,605.3
1430,18 Ocak 2022 ,Satılık ,92,0 (Yeni) ,5,Boş ,Bilinmiyor ,Yok,2 ,18 Ocak 2022 ,Konut ,88,2+1 ,4. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1150000,İstanbul , Bahçelievler , Siyavuşpaşa Mahallesi ,Avrupa Yakası,0.053,605.3
1429,18 Ocak 2022 ,Satılık ,80,0 (Yeni) ,5,Boş ,Bilinmiyor ,Yok,1 ,18 Ocak 2022 ,Konut ,75,2+1 ,1. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,955000,İstanbul , Bahçelievler , Siyavuşpaşa Mahallesi ,Avrupa Yakası,0.053,605.3
1406,17 Ocak 2022 ,Satılık ,155,21 Ve Üzeri ,4,Boş ,Bilinmiyor ,Yok,1 ,17 Ocak 2022 ,Konut ,140,3+1 ,2. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,850000,İstanbul , Bahçelievler , Yenibosna Merkez Mahallesi ,Avrupa Yakası,0.053,605.3
1454,18 Ocak 2022 ,Satılık ,300,21 Ve Üzeri ,5,Boş ,Yatırıma Uygun ,Var,2 ,18 Ocak 2022 ,Konut ,250,5+1 ,5. Kat ,Doğalgaz,Krediye Uygun Değil ,Hayır,Var,Birim Fiyat ,675000,İstanbul , Bahçelievler , Bahçelievler Mahallesi ,Avrupa Yakası,0.053,605.3
1434,18 Ocak 2022 ,Satılık ,80,3 ,4,Kiracı Oturuyor ,Bilinmiyor ,Yok,1 ,18 Ocak 2022 ,Konut ,70,2+1 ,Düz Giriş ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1400000,İstanbul , Bahçelievler , Bahçelievler Mahallesi ,Avrupa Yakası,0.053,605.3
